germ, germ.
profound, profound.
vacant, vacant.
jewel, jewel.
carrier, carrier.
subtle, subtle.
photoelectric, photoelectric.
clip, clip.
assessment, assessment.
formation, formation.
newcomer, newcomer.
kangaroo, kangaroo.
phrase, phrase.
shall, shall.
loaf, loaf.
carrot, carrot.
modem, modem.
shore, shore.
eggplant, eggplant.
supper, supper.
overpass, overpass.
reunite, reunite.
illustration, illustration.
vaccine, vaccine.
comb, comb.
surname, surname.
reinstate, reinstate.
prominent, prominent.
executive, executive.
vague, vague.
suspect, suspect.
bet, bet.
intergenerational, intergenerational.
promising, promising.
exhort, exhort.
kettle, kettle.
vale, vale.
sightseeing, sightseeing.
indicate, indicate.
invade, invade.
lottery, lottery.
witness, witness.
continuous, continuous.
pronoun, pronoun.
signify, signify.
individuality, individuality.
toll, toll.
worn, worn.
notion, notion.
vein, vein.
sin, sin.
inflation, inflation.
chronic, chronic.
intervention, intervention.
dip, dip.
skim, skim.
gratify, gratify.
prospect, prospect.
protestor, protestor.
quotient, quotient.
skull, skull.
toothpaste, toothpaste.
revival, revival.
figurative, figurative.
race, race.
skydiving, skydiving.
magnificent, magnificent.
tornado, tornado.
numerous, numerous.
plainly, plainly.
slogan, slogan.
tortoise, tortoise.
hormone, hormone.
nursery, nursery.
plasma, plasma.
snap, snap.
painstaking, painstaking.
yawn, yawn.
subsequently, subsequently.
venue, venue.
sneaker, sneaker.
transformation, transformation.
confess, confess.
faith, faith.
discipline, discipline.
conserve, conserve.
veteran, veteran.
challenged, challenged.
headset, headset.
rag, rag.
puff, puff.
retina, retina.
mushy, mushy.
solely, solely.
makeup, makeup.
ribbon, ribbon.
observatory, observatory.
vinegar, vinegar.
nobility, nobility.
solidarity, solidarity.
palm, palm.
chant, chant.
obstruction, obstruction.
mysterious, mysterious.
bully, bully.
ground, ground.
irrigation, irrigation.
breathability, breathability.
revelation, revelation.
reception, reception.
panel, panel.
odd, odd.
livestock, livestock.
sorrow, sorrow.
rid, rid.
odds, odds.
disposal, disposal.
spectacular, spectacular.
paperwork, paperwork.
yell, yell.
fulfill, fulfill.
dissolve, dissolve.
bust, bust.
tank, tank.
mall, mall.
expect, expect.
yummy, yummy.
tap, tap.
pose, pose.
spite, spite.
equity, equity.
overdog, overdog.
offend, offend.
adequate, adequate.
league, league.
rectangle, rectangle.
chairperson, chairperson.
topdog, topdog.
telegraph, telegraph.
voluntary, voluntary.
cozy, cozy.
earnest, earnest.
impeccable, impeccable.
leather, leather.
bronze, bronze.
versatile, versatile.
coward, coward.
linger, linger.
particle, particle.
hire, hire.
reflective, reflective.
purse, purse.
dogged, dogged.
legend, legend.
vulnerable, vulnerable.
stadium, stadium.
emanating, emanating.
overstatement, overstatement.
evacuate, evacuate.
mandatory, mandatory.
assertiveness, assertiveness.
resurge, resurge.
roller coaster, roller coaster.
swift, swift.
dawn, dawn.
radiotoxic, radiotoxic.
leopard, leopard.
renaissance, renaissance.
cue, cue.
column, column.
yield, yield.
originate, originate.
walnut, walnut.
steward, steward.
fur, fur.
booth, booth.
liberal, liberal.
reinforce, reinforce.
rough, rough.
stiff, stiff.
triumph, triumph.
rugby, rugby.
warrior, warrior.
curator, curator.
pension, pension.
textspeak, textspeak.
naked, naked.
religion, religion.
stony, stony.
rural, rural.
humanistic, humanistic.
weapon, weapon.
jelly, jelly.
pensive, pensive.
salute, salute.
pre-pubescent, pre-pubescent.
drill, drill.
stout, stout.
methane, methane.
savage, savage.
outspoken, outspoken.
dumb, dumb.
fountain, fountain.
scarce, scarce.
resign, resign.
sag, sag.
unify, unify.
scenic, scenic.
gaze, gaze.
resist, resist.
clerk, clerk.
straw, straw.
thermos, thermos.
technician, technician.
stripe, stripe.
workings, workings.
unrest, unrest.
outward, outward.
well-rounded, well-rounded.
scold, scold.
scroll, scroll.
imposing, imposing.
resort, resort.
stubborn, stubborn.
unselfish, unselfish.
secretary, secretary.
genius, genius.
prompt, prompt.
uplifting, uplifting.
claw, claw.
liter, liter.
respective, respective.
promptly, promptly.
sector, sector.
ash, ash.
probe, probe.
substantial, substantial.
phenomena, phenomena.
procedure, procedure.
